test,overlap_100,avg_move
ALPHA_+0.05,99,17.14758
ALPHA_-0.05,100,18.03366
ALPHA_+0.10,99,32.39536
ALPHA_-0.10,100,36.42198
BETA_+0.05,100,1.40852
BETA_-0.05,100,1.42918
BETA_+0.10,100,2.76384
BETA_-0.10,100,2.85172
GAMMA_+0.05,100,0.54184
GAMMA_-0.05,100,0.52288
GAMMA_+0.10,100,1.04978
GAMMA_-0.10,99,1.06038
W_PROD_+0.05,100,10.86026
W_PROD_-0.05,100,17.2519
W_PROD_+0.10,100,21.68062
W_PROD_-0.10,99,24.15928
W_SPEC_+0.05,100,15.90764
W_SPEC_-0.05,100,13.8537
W_SPEC_+0.10,99,29.58106
W_SPEC_-0.10,100,27.73898
W_EVID_+0.05,100,0.63454
W_EVID_-0.05,100,0.70854
W_EVID_+0.10,100,1.23604
W_EVID_-0.10,99,1.46178
