Simulation,Top20_Overlap,Top100_Overlap,Top250_Overlap,Top1000_Overlap,Kendall_Tau,Spearman,Avg_Rank_Movement,Max_Rank_Movement
A,0.75,0.81,0.68,0.558,0.8041252964620407,0.8620916832038555,8159.7511286028475,85486
B,0.85,0.8,0.688,0.499,0.8961916970916997,0.9511411656072929,4337.808942533332,90898
C,0.9,0.66,0.676,0.508,0.8407543375700317,0.914718238414607,5986.1868482252785,90088
D,0.6,0.72,0.444,0.504,0.8175860232470101,0.8898591247180253,7509.982173862715,90752
