test,overlap_100,avg_move
ALPHA_+0.05,99,17.62212
ALPHA_-0.05,100,18.60204
ALPHA_+0.10,99,33.27794
ALPHA_-0.10,100,37.63128
BETA_+0.05,100,1.54908
BETA_-0.05,100,1.58978
BETA_+0.10,100,3.07692
BETA_-0.10,100,3.17744
GAMMA_+0.05,100,0.56946
GAMMA_-0.05,100,0.54542
GAMMA_+0.10,100,1.09578
GAMMA_-0.10,99,1.10852
W_PROD_+0.05,100,11.0781
W_PROD_-0.05,100,17.54856
W_PROD_+0.10,100,22.12532
W_PROD_-0.10,99,24.65536
W_SPEC_+0.05,100,16.11092
W_SPEC_-0.05,100,14.0416
W_SPEC_+0.10,99,29.93778
W_SPEC_-0.10,100,28.06722
W_EVID_+0.05,100,0.92192
W_EVID_-0.05,100,0.97498
W_EVID_+0.10,100,1.80468
W_EVID_-0.10,99,1.94978
